,Precision,Recall
0,0.9556962025316456,0.8531073446327684
1,0.9761904761904762,0.9647058823529412
2,0.9640718562874252,0.9938271604938271
3,0.9636363636363636,0.9754601226993865
4,0.99375,0.99375
5,0.9875,0.9461077844311377
6,0.9244186046511628,0.9875776397515528
7,0.9683544303797469,0.9807692307692307
8,0.9493670886075949,0.974025974025974
9,0.9882352941176471,0.9767441860465116
A,1.0,0.9937888198757764
B,0.9859154929577465,0.9459459459459459
C,0.9517241379310345,0.8313253012048193
D,0.9516129032258065,0.9943820224719101
E,1.0,1.0
F,0.9934640522875817,0.987012987012987
G,0.9659090909090909,0.9883720930232558
H,1.0,0.9935064935064936
I,0.9751552795031055,0.9691358024691358
J,0.9662162162162162,0.9862068965517241
K,0.9821428571428571,1.0
L,0.9867549668874173,0.9490445859872612
M,0.9815950920245399,0.9876543209876543
N,0.9835164835164835,0.9835164835164835
O,0.7850877192982456,0.9132653061224489
P,1.0,0.96875
Q,0.9760479041916168,0.9878787878787879
R,0.976878612716763,0.9712643678160919
S,0.9817073170731707,0.9640718562874252
T,0.9784172661870504,0.9855072463768116
U,0.9823529411764705,0.9940476190476191
V,0.9238578680203046,0.9629629629629629
W,0.9775280898876404,0.9720670391061452
X,0.9878787878787879,0.9702380952380952
Y,0.9881656804733728,0.9766081871345029
Z,1.0,0.967741935483871
