track_id,duration,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_mins,release_year
2P1mLMA0W0wpLPPlYIhBa9,209176,22,0.488,0.832,2,-2.332,0,0.0418,0.0107,0.395,0.112,0.422,107.015,3.486266666666667,2022
2Zh1LkF9VziQVUjzIFlyi9,367426,41,0.565,0.68,7,-7.609,1,0.0269,0.0046,0.0936,0.076,0.121,116.973,6.123766666666667,1989
1390XaOMSPI8rJUyKiL18Y,268250,3,0.566,0.742,4,-5.875,0,0.0336,0.00161,0.238,0.107,0.14,119.952,4.470833333333333,2021
1bqerS49YfUgCimJQJPUsC,201504,27,0.598,0.68,9,-11.749,0,0.0507,0.413,0.894,0.111,0.426,156.018,3.3584,2016
5trdk633doJmre0SiVIZwV,292480,13,0.516,0.906,9,-7.155,1,0.0347,0.0324,0.583,0.132,0.275,155.996,4.874666666666666,2022
0G7EWR47zIAm3Hc16uyhpx,136245,12,0.475,0.896,11,-4.704,0,0.0529,0.000489,0.652,0.0719,0.594,160.06,2.27075,2022
7eKMwDpwMIalx8RJiqlIFi,266386,4,0.511,0.966,0,-8.381,1,0.0483,0.00233,0.829,0.157,0.17,130.01,4.439766666666666,2022
0XDNFoANwFnqPWi1nh8WZh,240592,0,0.428,0.873,9,-5.675,1,0.0405,4.61e-05,0.176,0.0631,0.719,152.022,4.0098666666666665,2022
5COXGdwhZx0NDBjt5fdVDd,292460,10,0.522,0.589,7,-8.445,1,0.0298,0.00291,0.109,0.501,0.55,159.959,4.874333333333333,2022
5BHAfkUCyJ9tA9kw01HfDM,258048,4,0.535,0.835,1,-8.862,1,0.0595,0.000217,0.742,0.113,0.357,120.012,4.3008,2022
28WDbLe8efcjhkdj3djZem,249473,6,0.569,0.715,8,-10.567,1,0.0406,0.000696,0.784,0.0985,0.441,113.994,4.157883333333333,2022
