track_id,duration,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_mins,release_year
1cRNEme8Bp7V8eNIAeyiAk,216066,0,0.54,0.866,1,-4.901,1,0.0364,0.00103,0.0,0.0971,0.441,124.595,3.6011,2001
3bB66GhyUtnqYDQHm9ZBR5,354026,0,0.464,0.718,6,-9.693,1,0.0328,0.00395,0.004,0.17,0.476,120.669,5.900433333333333,2008
2XrzsHq1oJh3TTdEOCoUgG,254026,18,0.285,0.965,9,-6.847,1,0.0742,0.109,0.453,0.62,0.216,191.291,4.233766666666667,1988
6QTq0gfdNn8ibN8kEuNzyt,198933,20,0.519,0.95,0,-6.574,1,0.0783,0.0792,0.000913,0.741,0.673,145.198,3.31555,1988
6GGMZXgnCgQKTAfE2f3Sxt,220493,35,0.697,0.715,9,-8.566,1,0.0396,0.365,1.48e-05,0.17,0.887,174.342,3.6748833333333333,1988
0OprBk6IHvo04oyirQjdkL,376733,0,0.209,0.795,0,-7.241,1,0.0443,0.0109,5.63e-05,0.355,0.682,171.975,6.278883333333333,1989
51YoY9qjpQlzNFtFnxW7as,366986,0,0.432,0.849,9,-7.486,0,0.0351,0.00483,0.0811,0.139,0.324,146.038,6.116433333333333,2014
3ZXtV7B1d5z3qRD5Ow5SpU,312066,0,0.236,0.599,8,-7.556,1,0.0309,0.466,8.8e-05,0.111,0.239,157.001,5.2011,2014
6qCx75NxBQHbCtAgzOPGOK,193800,33,0.557,0.947,2,-7.339,1,0.0625,0.206,0.0,0.177,0.619,101.251,3.23,2005
60iXCl8pczSf8TqN0yUaH4,193733,41,0.388,0.987,10,-5.936,1,0.107,0.032,0.0578,0.977,0.405,162.988,3.2288833333333335,1986
7gOYdulCQX8IAmngILCRAi,210933,0,0.566,0.783,11,-7.861,1,0.0368,0.457,0.00137,0.371,0.964,75.812,3.51555,2008
2wvTViDzYvTOI1Z9G0Gb1F,198133,0,0.628,0.869,0,-7.594,1,0.0905,0.347,0.0121,0.0651,0.962,152.175,3.302216666666667,2008
3IbHUmLSwGix200VUMasBS,222866,14,0.507,0.876,2,-7.521,0,0.0356,0.152,0.0624,0.727,0.422,135.11,3.7144333333333335,2008
6AYajxFKIcUox8Tva8HA4o,198133,8,0.406,0.934,0,-3.368,0,0.051,0.256,0.0255,0.833,0.251,116.512,3.302216666666667,2008
