track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_mins,playlist_id,playlist_name,release_year
5u1n1kITHCxxp8twBcZxWy,Holy (feat. Chance The Rapper),1uNFoZAHBGtllmzznpCI3s,Justin Bieber,4hR7jjsPvRwwcHx8ntJSQS,212093,2020-09-18,73,0.673,0.704,6,-8.056,1,0.36,0.196,0.0,0.0898,0.372,86.919,3.534883333333333,56uBMvAujYa1ZLSqkYk6hg,final,2020
09CtPGIpYB4BrO8qb1RGsF,Sorry,1uNFoZAHBGtllmzznpCI3s,Justin Bieber,6Fr2rQkZ383FcMqFyT7yPr,200786,2015-11-13,82,0.654,0.76,0,-3.669,0,0.045,0.0797,0.0,0.299,0.41,99.945,3.346433333333333,56uBMvAujYa1ZLSqkYk6hg,final,2015
4B0JvthVoAAuygILe3n4Bs,What Do You Mean?,1uNFoZAHBGtllmzznpCI3s,Justin Bieber,6Fr2rQkZ383FcMqFyT7yPr,205680,2015-11-13,78,0.845,0.567,5,-8.118,0,0.0956,0.59,0.00142,0.0811,0.793,125.02,3.428,56uBMvAujYa1ZLSqkYk6hg,final,2015
190jyVPHYjAqEaOGmMzdyk,Beauty And A Beat,1uNFoZAHBGtllmzznpCI3s,Justin Bieber,70f70xLCpH7wHaVvB2oZT9,227986,2012-06-15,74,0.602,0.843,0,-4.831,1,0.0593,0.000688,5.27e-05,0.0682,0.526,128.003,3.7997666666666667,56uBMvAujYa1ZLSqkYk6hg,final,2012
5GYbkDveRD2I8M5ZJ14hWn,Never Say Never,1uNFoZAHBGtllmzznpCI3s,Justin Bieber,0wZJCeyfJ0LVrrtH4CwQYw,227853,2011-01-01,72,0.739,0.807,0,-5.063,1,0.0652,0.0181,0.0,0.295,0.632,97.048,3.79755,56uBMvAujYa1ZLSqkYk6hg,final,2011
3UGIZ8qcrMTwzLbx6Kttqt,Boyfriend,1uNFoZAHBGtllmzznpCI3s,Justin Bieber,5cxMa6oLINJzmZ8lF7wWQN,171333,2012-01-01,75,0.717,0.55,10,-6.019,0,0.0521,0.0358,0.00196,0.126,0.332,96.976,2.85555,56uBMvAujYa1ZLSqkYk6hg,final,2012
61uyGDPJ06MkxJtHgPmuyO,Company,1uNFoZAHBGtllmzznpCI3s,Justin Bieber,6Fr2rQkZ383FcMqFyT7yPr,208120,2015-11-13,70,0.59,0.797,4,-4.901,0,0.0614,0.132,0.0,0.0846,0.425,94.948,3.4686666666666666,56uBMvAujYa1ZLSqkYk6hg,final,2015
6eDApnV9Jdb1nYahOlbbUh,One Time,1uNFoZAHBGtllmzznpCI3s,Justin Bieber,1rG5TDs3jYh6OU753I54CI,215866,2009-01-01,71,0.691,0.853,1,-2.528,0,0.0372,0.0631,7.13e-05,0.082,0.762,145.999,3.597766666666667,56uBMvAujYa1ZLSqkYk6hg,final,2009
0SNIAtRCPVVLoGEPcuHSIc,I'll Show You,1uNFoZAHBGtllmzznpCI3s,Justin Bieber,6Fr2rQkZ383FcMqFyT7yPr,199946,2015-11-13,64,0.361,0.608,9,-6.757,0,0.098,0.05,7.96e-05,0.183,0.0789,191.812,3.3324333333333334,56uBMvAujYa1ZLSqkYk6hg,final,2015
69ghzc538EQSVon2Gm3wrr,One Less Lonely Girl,1uNFoZAHBGtllmzznpCI3s,Justin Bieber,1rG5TDs3jYh6OU753I54CI,229106,2009-01-01,69,0.58,0.75,4,-4.421,1,0.194,0.159,0.0,0.274,0.728,86.938,3.818433333333333,56uBMvAujYa1ZLSqkYk6hg,final,2009
2VxeLyX666F8uXCJ0dZF8B,Shallow,1HY2Jd0NmPuamShAr6KMms,Lady Gaga,4sLtOBOzn4s3GDUv3c5oJD,215733,2018-10-05,84,0.572,0.385,7,-6.362,1,0.0308,0.371,0.0,0.231,0.323,95.799,3.59555,56uBMvAujYa1ZLSqkYk6hg,final,2018
2fbJ5Msx8KoDKpyufH5YsU,I'll Never Love Again - Extended Version,1HY2Jd0NmPuamShAr6KMms,Lady Gaga,4sLtOBOzn4s3GDUv3c5oJD,328893,2018-10-05,67,0.406,0.359,7,-6.145,1,0.0293,0.685,3.67e-06,0.122,0.202,109.246,5.48155,56uBMvAujYa1ZLSqkYk6hg,final,2018
0SiywuOBRcynK0uKGWdCnn,Bad Romance,1HY2Jd0NmPuamShAr6KMms,Lady Gaga,6rePArBMb5nLWEaY9aQqL4,294573,2009-11-05,83,0.696,0.921,0,-3.755,1,0.0363,0.00314,5.24e-05,0.0842,0.714,119.001,4.90955,56uBMvAujYa1ZLSqkYk6hg,final,2009
7dZ1Odmx9jWIweQSatnRqo,Million Reasons,1HY2Jd0NmPuamShAr6KMms,Lady Gaga,2ZUwFxlWo0gwTsvZ6L4Meh,205280,2016-10-21,77,0.666,0.423,0,-8.012,1,0.043,0.494,0.0,0.106,0.154,129.89,3.421333333333333,56uBMvAujYa1ZLSqkYk6hg,final,2016
4TCL0qqKyqsMZml0G3M9IM,Telephone,1HY2Jd0NmPuamShAr6KMms,Lady Gaga,6rePArBMb5nLWEaY9aQqL4,220640,2009-11-05,73,0.824,0.836,3,-5.903,1,0.0404,0.00521,0.000817,0.112,0.716,122.014,3.6773333333333333,56uBMvAujYa1ZLSqkYk6hg,final,2009
1HHeOs6zRdF8Ck58easiAY,Alejandro,1HY2Jd0NmPuamShAr6KMms,Lady Gaga,6rePArBMb5nLWEaY9aQqL4,274213,2009-11-05,73,0.623,0.793,11,-6.63,0,0.0462,0.000397,0.0015,0.375,0.36,98.998,4.570216666666667,56uBMvAujYa1ZLSqkYk6hg,final,2009
1dzQoRqT5ucxXVaAhTcT0J,Just Dance,1HY2Jd0NmPuamShAr6KMms,Lady Gaga,1qwlxZTNLe1jq3b0iidlue,241933,2008-01-01,81,0.822,0.739,1,-4.541,0,0.0311,0.0264,4.26e-05,0.181,0.745,118.992,4.032216666666667,56uBMvAujYa1ZLSqkYk6hg,final,2008
5ka2ajep9OAvU5Sgduhiex,Applause,1HY2Jd0NmPuamShAr6KMms,Lady Gaga,2eRJUtI7nXrQ5uYQ7tzTo9,212333,2013-11-11,74,0.669,0.78,7,-4.287,0,0.053,0.0265,1.63e-06,0.143,0.738,139.945,3.538883333333333,56uBMvAujYa1ZLSqkYk6hg,final,2013
5YWHg9507fUXvtdSW3x6cF,Come To Mama,1HY2Jd0NmPuamShAr6KMms,Lady Gaga,2ZUwFxlWo0gwTsvZ6L4Meh,254773,2016-10-21,48,0.395,0.867,0,-5.805,1,0.105,0.0161,0.0,0.141,0.557,179.911,4.246216666666666,56uBMvAujYa1ZLSqkYk6hg,final,2016
172e82oK9vGoBPvc6SqMm5,Is That Alright?,1HY2Jd0NmPuamShAr6KMms,Lady Gaga,4sLtOBOzn4s3GDUv3c5oJD,191280,2018-10-05,63,0.557,0.279,6,-7.757,1,0.0372,0.868,1.25e-05,0.0978,0.263,102.727,3.188,56uBMvAujYa1ZLSqkYk6hg,final,2018
