track_id,duration,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_mins,release_year
5u1n1kITHCxxp8twBcZxWy,212093,73,0.673,0.704,6,-8.056,1,0.36,0.196,0.0,0.0898,0.372,86.919,3.534883333333333,2020
09CtPGIpYB4BrO8qb1RGsF,200786,82,0.654,0.76,0,-3.669,0,0.045,0.0797,0.0,0.299,0.41,99.945,3.346433333333333,2015
4B0JvthVoAAuygILe3n4Bs,205680,78,0.845,0.567,5,-8.118,0,0.0956,0.59,0.00142,0.0811,0.793,125.02,3.428,2015
190jyVPHYjAqEaOGmMzdyk,227986,74,0.602,0.843,0,-4.831,1,0.0593,0.000688,5.27e-05,0.0682,0.526,128.003,3.7997666666666667,2012
5GYbkDveRD2I8M5ZJ14hWn,227853,72,0.739,0.807,0,-5.063,1,0.0652,0.0181,0.0,0.295,0.632,97.048,3.79755,2011
3UGIZ8qcrMTwzLbx6Kttqt,171333,75,0.717,0.55,10,-6.019,0,0.0521,0.0358,0.00196,0.126,0.332,96.976,2.85555,2012
61uyGDPJ06MkxJtHgPmuyO,208120,70,0.59,0.797,4,-4.901,0,0.0614,0.132,0.0,0.0846,0.425,94.948,3.4686666666666666,2015
6eDApnV9Jdb1nYahOlbbUh,215866,71,0.691,0.853,1,-2.528,0,0.0372,0.0631,7.13e-05,0.082,0.762,145.999,3.597766666666667,2009
0SNIAtRCPVVLoGEPcuHSIc,199946,64,0.361,0.608,9,-6.757,0,0.098,0.05,7.96e-05,0.183,0.0789,191.812,3.3324333333333334,2015
69ghzc538EQSVon2Gm3wrr,229106,69,0.58,0.75,4,-4.421,1,0.194,0.159,0.0,0.274,0.728,86.938,3.818433333333333,2009
2VxeLyX666F8uXCJ0dZF8B,215733,84,0.572,0.385,7,-6.362,1,0.0308,0.371,0.0,0.231,0.323,95.799,3.59555,2018
2fbJ5Msx8KoDKpyufH5YsU,328893,67,0.406,0.359,7,-6.145,1,0.0293,0.685,3.67e-06,0.122,0.202,109.246,5.48155,2018
0SiywuOBRcynK0uKGWdCnn,294573,83,0.696,0.921,0,-3.755,1,0.0363,0.00314,5.24e-05,0.0842,0.714,119.001,4.90955,2009
7dZ1Odmx9jWIweQSatnRqo,205280,77,0.666,0.423,0,-8.012,1,0.043,0.494,0.0,0.106,0.154,129.89,3.421333333333333,2016
4TCL0qqKyqsMZml0G3M9IM,220640,73,0.824,0.836,3,-5.903,1,0.0404,0.00521,0.000817,0.112,0.716,122.014,3.6773333333333333,2009
1HHeOs6zRdF8Ck58easiAY,274213,73,0.623,0.793,11,-6.63,0,0.0462,0.000397,0.0015,0.375,0.36,98.998,4.570216666666667,2009
1dzQoRqT5ucxXVaAhTcT0J,241933,81,0.822,0.739,1,-4.541,0,0.0311,0.0264,4.26e-05,0.181,0.745,118.992,4.032216666666667,2008
5ka2ajep9OAvU5Sgduhiex,212333,74,0.669,0.78,7,-4.287,0,0.053,0.0265,1.63e-06,0.143,0.738,139.945,3.538883333333333,2013
5YWHg9507fUXvtdSW3x6cF,254773,48,0.395,0.867,0,-5.805,1,0.105,0.0161,0.0,0.141,0.557,179.911,4.246216666666666,2016
